,court_surface,year,player_name,opponent_name,tournament,round,num_sets,sets_won,games_won,games_against,tiebreaks_won,tiebreaks_total,aces,double_faults,first_serve_made,first_serve_attempted,first_serve_points_made,first_serve_points_attempted,second_serve_points_made,second_serve_points_attempted,break_points_saved,break_points_against,first_serve_return_points_made,first_serve_return_points_attempted,second_serve_return_points_made,second_serve_return_points_attempted,break_points_made,break_points_attempted,service_points_won,service_points_attempted,return_points_won,return_points_attempted,total_points_won,total_points,player_victory,retirement,won_first_set,doubles,masters,round_num
847,Hard,2017,P. Carreno Busta,D. Istomin,australian-open,Round of 32,5.0,2.0,22.0,26.0,0.0,0.0,5.0,5.0,86.0,151.0,59.0,86.0,34.0,65.0,2.0,7.0,23.0,93.0,21.0,48.0,3.0,12.0,93.0,151.0,44.0,141.0,137.0,292.0,f,f,f,f,2000,3
848,Hard,2017,P. Carreno Busta,K. Edmund,australian-open,Round of 64,3.0,3.0,18.0,8.0,0.0,0.0,7.0,0.0,58.0,89.0,46.0,58.0,16.0,31.0,6.0,6.0,11.0,42.0,23.0,37.0,5.0,8.0,62.0,89.0,34.0,79.0,96.0,168.0,t,f,t,f,2000,2
849,Hard,2017,P. Carreno Busta,P. Polansky,australian-open,Round of 128,5.0,3.0,21.0,14.0,0.0,0.0,21.0,8.0,59.0,101.0,49.0,59.0,19.0,42.0,3.0,7.0,32.0,73.0,28.0,50.0,7.0,20.0,68.0,101.0,60.0,123.0,128.0,224.0,t,t,t,f,2000,1
850,Hard,2017,P. Cuevas,D. Schwartzman,australian-open,Round of 128,3.0,0.0,6.0,18.0,0.0,0.0,7.0,6.0,43.0,80.0,25.0,43.0,13.0,37.0,2.0,9.0,12.0,42.0,8.0,30.0,1.0,4.0,38.0,80.0,20.0,72.0,58.0,152.0,f,f,f,f,2000,1
851,Hard,2017,P. Polansky,A. Rublev,australian-open,3rd Round Qualifying,3.0,1.0,13.0,16.0,0.0,0.0,9.0,1.0,61.0,103.0,38.0,61.0,22.0,42.0,10.0,15.0,16.0,54.0,14.0,32.0,3.0,9.0,60.0,103.0,30.0,86.0,90.0,189.0,f,f,f,f,2000,0
852,Hard,2017,P. Polansky,M. Basic,australian-open,2nd Round Qualifying,2.0,2.0,12.0,7.0,0.0,0.0,6.0,0.0,27.0,46.0,20.0,27.0,15.0,19.0,0.0,1.0,9.0,34.0,17.0,27.0,4.0,8.0,35.0,46.0,26.0,61.0,61.0,107.0,t,f,t,f,2000,-1
853,Hard,2017,P. Polansky,P. Carreno Busta,australian-open,Round of 128,5.0,2.0,14.0,21.0,0.0,0.0,10.0,5.0,73.0,123.0,41.0,73.0,22.0,50.0,13.0,20.0,10.0,59.0,23.0,42.0,4.0,7.0,63.0,123.0,33.0,101.0,96.0,224.0,f,t,f,f,2000,1
854,Hard,2017,P. Polansky,T. Lamasine,australian-open,1st Round Qualifying,2.0,2.0,12.0,6.0,0.0,0.0,4.0,0.0,28.0,45.0,22.0,28.0,13.0,17.0,0.0,1.0,16.0,37.0,12.0,26.0,4.0,10.0,35.0,45.0,28.0,63.0,63.0,108.0,t,f,t,f,2000,-2
855,Hard,2017,P. Kohlschreiber,D. Young,australian-open,Round of 64,3.0,3.0,19.0,8.0,0.0,0.0,3.0,3.0,43.0,77.0,33.0,43.0,23.0,34.0,4.0,5.0,32.0,62.0,16.0,31.0,7.0,12.0,56.0,77.0,48.0,93.0,104.0,170.0,t,f,t,f,2000,2
856,Hard,2017,P. Kohlschreiber,G. Monfils,australian-open,Round of 32,3.0,0.0,13.0,19.0,0.0,1.0,3.0,2.0,52.0,80.0,36.0,52.0,14.0,28.0,1.0,6.0,16.0,68.0,18.0,29.0,3.0,6.0,50.0,80.0,34.0,97.0,84.0,177.0,f,f,f,f,2000,3
